geoName,anxiety
Alabama,74
Alaska,68
Arizona,75
Arkansas,81
California,71
Colorado,73
Connecticut,87
Delaware,88
District of Columbia,70
Florida,72
Georgia,72
Hawaii,71
Idaho,80
Illinois,78
Indiana,80
Iowa,78
Kansas,74
Kentucky,86
Louisiana,78
Maine,95
Maryland,79
Massachusetts,88
Michigan,82
Minnesota,86
Mississippi,76
Missouri,81
Montana,86
Nebraska,77
Nevada,74
New Hampshire,97
New Jersey,79
New Mexico,86
New York,77
North Carolina,81
North Dakota,96
Ohio,80
Oklahoma,80
Oregon,51
Pennsylvania,89
Rhode Island,96
South Carolina,76
South Dakota,79
Tennessee,79
Texas,69
Utah,79
Vermont,100
Virginia,60
Washington,78
West Virginia,89
Wisconsin,80
Wyoming,80
