geoName,anxiety
Alabama,76
Alaska,65
Arizona,76
Arkansas,80
California,70
Colorado,69
Connecticut,86
Delaware,82
District of Columbia,77
Florida,70
Georgia,72
Hawaii,68
Idaho,78
Illinois,77
Indiana,86
Iowa,77
Kansas,80
Kentucky,87
Louisiana,76
Maine,94
Maryland,79
Massachusetts,87
Michigan,84
Minnesota,78
Mississippi,83
Missouri,72
Montana,79
Nebraska,74
Nevada,69
New Hampshire,100
New Jersey,78
New Mexico,81
New York,81
North Carolina,79
North Dakota,85
Ohio,83
Oklahoma,74
Oregon,82
Pennsylvania,88
Rhode Island,95
South Carolina,80
South Dakota,76
Tennessee,79
Texas,66
Utah,70
Vermont,94
Virginia,80
Washington,79
West Virginia,100
Wisconsin,81
Wyoming,72
