geoName,anxiety
Alabama,78
Alaska,73
Arizona,76
Arkansas,76
California,71
Colorado,72
Connecticut,85
Delaware,76
District of Columbia,71
Florida,65
Georgia,72
Hawaii,64
Idaho,74
Illinois,76
Indiana,79
Iowa,79
Kansas,72
Kentucky,85
Louisiana,77
Maine,100
Maryland,75
Massachusetts,87
Michigan,83
Minnesota,81
Mississippi,80
Missouri,75
Montana,75
Nebraska,78
Nevada,66
New Hampshire,92
New Jersey,75
New Mexico,80
New York,74
North Carolina,75
North Dakota,94
Ohio,82
Oklahoma,79
Oregon,77
Pennsylvania,86
Rhode Island,92
South Carolina,73
South Dakota,77
Tennessee,80
Texas,67
Utah,80
Vermont,89
Virginia,75
Washington,76
West Virginia,91
Wisconsin,86
Wyoming,68
