geoName,anxiety
Alabama,74
Alaska,68
Arizona,76
Arkansas,79
California,74
Colorado,73
Connecticut,85
Delaware,80
District of Columbia,67
Florida,68
Georgia,69
Hawaii,61
Idaho,79
Illinois,77
Indiana,78
Iowa,75
Kansas,77
Kentucky,87
Louisiana,80
Maine,93
Maryland,77
Massachusetts,90
Michigan,81
Minnesota,85
Mississippi,73
Missouri,79
Montana,64
Nebraska,74
Nevada,70
New Hampshire,89
New Jersey,78
New Mexico,72
New York,75
North Carolina,74
North Dakota,78
Ohio,80
Oklahoma,80
Oregon,50
Pennsylvania,91
Rhode Island,100
South Carolina,75
South Dakota,76
Tennessee,77
Texas,67
Utah,78
Vermont,87
Virginia,76
Washington,78
West Virginia,93
Wisconsin,82
Wyoming,69
