geoName,anxiety
Alabama,71
Alaska,75
Arizona,74
Arkansas,77
California,67
Colorado,67
Connecticut,83
Delaware,82
District of Columbia,69
Florida,65
Georgia,68
Hawaii,63
Idaho,73
Illinois,72
Indiana,80
Iowa,75
Kansas,61
Kentucky,85
Louisiana,73
Maine,100
Maryland,71
Massachusetts,80
Michigan,77
Minnesota,81
Mississippi,73
Missouri,77
Montana,83
Nebraska,76
Nevada,70
New Hampshire,86
New Jersey,73
New Mexico,78
New York,70
North Carolina,69
North Dakota,89
Ohio,76
Oklahoma,67
Oregon,58
Pennsylvania,85
Rhode Island,87
South Carolina,73
South Dakota,79
Tennessee,77
Texas,65
Utah,77
Vermont,74
Virginia,44
Washington,72
West Virginia,100
Wisconsin,84
Wyoming,68
