date,broken,isPartial
2011-01-02,100,False
2011-01-09,90,False
2011-01-16,94,False
2011-01-23,94,False
2011-01-30,91,False
2011-02-06,93,False
2011-02-13,90,False
2011-02-20,94,False
2011-02-27,92,False
2011-03-06,90,False
2011-03-13,90,False
2011-03-20,90,False
2011-03-27,92,False
2011-04-03,94,False
2011-04-10,92,False
2011-04-17,93,False
2011-04-24,94,False
2011-05-01,90,False
2011-05-08,92,False
2011-05-15,91,False
2011-05-22,96,False
2011-05-29,98,False
2011-06-05,91,False
2011-06-12,91,False
2011-06-19,94,False
2011-06-26,92,False
2011-07-03,94,False
2011-07-10,95,False
2011-07-17,95,False
2011-07-24,93,False
2011-07-31,92,False
2011-08-07,95,False
2011-08-14,92,False
2011-08-21,89,False
2011-08-28,91,False
2011-09-04,93,False
2011-09-11,88,False
2011-09-18,93,False
2011-09-25,96,False
2011-10-02,93,False
2011-10-09,91,False
2011-10-16,89,False
2011-10-23,89,False
2011-10-30,90,False
2011-11-06,88,False
2011-11-13,90,False
2011-11-20,90,False
2011-11-27,87,False
2011-12-04,82,False
2011-12-11,92,False
2011-12-18,87,False
2011-12-25,88,False
