geoName,broken
Alabama,17
Alaska,15
Arizona,15
Arkansas,18
California,14
Colorado,16
Connecticut,13
Delaware,13
District of Columbia,12
Florida,15
Georgia,15
Hawaii,14
Idaho,15
Illinois,15
Indiana,15
Iowa,16
Kansas,15
Kentucky,16
Louisiana,21
Maine,16
Maryland,13
Massachusetts,14
Michigan,15
Minnesota,14
Mississippi,16
Missouri,18
Montana,16
Nebraska,22
Nevada,15
New Hampshire,15
New Jersey,14
New Mexico,15
New York,14
North Carolina,15
North Dakota,14
Ohio,15
Oklahoma,100
Oregon,11
Pennsylvania,15
Rhode Island,14
South Carolina,15
South Dakota,16
Tennessee,16
Texas,16
Utah,16
Vermont,15
Virginia,13
Washington,15
West Virginia,17
Wisconsin,16
Wyoming,16
