date,broken,isPartial
2015-01-04,86,False
2015-01-11,85,False
2015-01-18,85,False
2015-01-25,84,False
2015-02-01,85,False
2015-02-08,86,False
2015-02-15,83,False
2015-02-22,83,False
2015-03-01,82,False
2015-03-08,85,False
2015-03-15,85,False
2015-03-22,87,False
2015-03-29,88,False
2015-04-05,85,False
2015-04-12,84,False
2015-04-19,84,False
2015-04-26,88,False
2015-05-03,85,False
2015-05-10,84,False
2015-05-17,91,False
2015-05-24,89,False
2015-05-31,94,False
2015-06-07,93,False
2015-06-14,87,False
2015-06-21,89,False
2015-06-28,87,False
2015-07-05,86,False
2015-07-12,88,False
2015-07-19,96,False
2015-07-26,100,False
2015-08-02,94,False
2015-08-09,94,False
2015-08-16,93,False
2015-08-23,90,False
2015-08-30,85,False
2015-09-06,91,False
2015-09-13,93,False
2015-09-20,89,False
2015-09-27,86,False
2015-10-04,91,False
2015-10-11,95,False
2015-10-18,91,False
2015-10-25,88,False
2015-11-01,86,False
2015-11-08,81,False
2015-11-15,92,False
2015-11-22,83,False
2015-11-29,82,False
2015-12-06,84,False
2015-12-13,84,False
2015-12-20,86,False
2015-12-27,88,False
