geoName,broken
Alabama,11
Alaska,10
Arizona,11
Arkansas,14
California,10
Colorado,11
Connecticut,11
Delaware,10
District of Columbia,9
Florida,10
Georgia,10
Hawaii,11
Idaho,11
Illinois,11
Indiana,12
Iowa,12
Kansas,13
Kentucky,12
Louisiana,12
Maine,11
Maryland,10
Massachusetts,10
Michigan,11
Minnesota,10
Mississippi,11
Missouri,11
Montana,11
Nebraska,15
Nevada,10
New Hampshire,11
New Jersey,11
New Mexico,12
New York,11
North Carolina,11
North Dakota,12
Ohio,11
Oklahoma,100
Oregon,12
Pennsylvania,11
Rhode Island,12
South Carolina,10
South Dakota,13
Tennessee,12
Texas,13
Utah,12
Vermont,11
Virginia,11
Washington,11
West Virginia,13
Wisconsin,11
Wyoming,12
