geoName,broken
Alabama,17
Alaska,15
Arizona,15
Arkansas,16
California,13
Colorado,15
Connecticut,13
Delaware,14
District of Columbia,12
Florida,13
Georgia,13
Hawaii,13
Idaho,15
Illinois,14
Indiana,15
Iowa,16
Kansas,16
Kentucky,15
Louisiana,22
Maine,15
Maryland,13
Massachusetts,14
Michigan,14
Minnesota,14
Mississippi,14
Missouri,16
Montana,15
Nebraska,22
Nevada,14
New Hampshire,14
New Jersey,12
New Mexico,16
New York,12
North Carolina,13
North Dakota,14
Ohio,15
Oklahoma,100
Oregon,10
Pennsylvania,14
Rhode Island,14
South Carolina,14
South Dakota,15
Tennessee,15
Texas,16
Utah,15
Vermont,15
Virginia,13
Washington,14
West Virginia,15
Wisconsin,15
Wyoming,15
