geoName,broken
Alabama,11
Alaska,11
Arizona,11
Arkansas,14
California,11
Colorado,11
Connecticut,10
Delaware,11
District of Columbia,9
Florida,11
Georgia,10
Hawaii,12
Idaho,11
Illinois,11
Indiana,12
Iowa,10
Kansas,12
Kentucky,11
Louisiana,13
Maine,12
Maryland,11
Massachusetts,10
Michigan,11
Minnesota,10
Mississippi,12
Missouri,12
Montana,12
Nebraska,17
Nevada,11
New Hampshire,12
New Jersey,11
New Mexico,13
New York,10
North Carolina,11
North Dakota,11
Ohio,11
Oklahoma,100
Oregon,11
Pennsylvania,11
Rhode Island,11
South Carolina,11
South Dakota,12
Tennessee,11
Texas,14
Utah,12
Vermont,12
Virginia,11
Washington,11
West Virginia,12
Wisconsin,13
Wyoming,14
