date,broken,isPartial
2016-01-03,61,False
2016-01-10,59,False
2016-01-17,61,False
2016-01-24,62,False
2016-01-31,62,False
2016-02-07,63,False
2016-02-14,61,False
2016-02-21,63,False
2016-02-28,60,False
2016-03-06,62,False
2016-03-13,59,False
2016-03-20,61,False
2016-03-27,64,False
2016-04-03,62,False
2016-04-10,63,False
2016-04-17,62,False
2016-04-24,64,False
2016-05-01,62,False
2016-05-08,64,False
2016-05-15,64,False
2016-05-22,63,False
2016-05-29,63,False
2016-06-05,67,False
2016-06-12,61,False
2016-06-19,63,False
2016-06-26,63,False
2016-07-03,64,False
2016-07-10,64,False
2016-07-17,63,False
2016-07-24,62,False
2016-07-31,61,False
2016-08-07,100,False
2016-08-14,62,False
2016-08-21,61,False
2016-08-28,61,False
2016-09-04,64,False
2016-09-11,63,False
2016-09-18,61,False
2016-09-25,60,False
2016-10-02,60,False
2016-10-09,61,False
2016-10-16,63,False
2016-10-23,63,False
2016-10-30,58,False
2016-11-06,55,False
2016-11-13,60,False
2016-11-20,58,False
2016-11-27,60,False
2016-12-04,56,False
2016-12-11,60,False
2016-12-18,58,False
2016-12-25,74,False
