date,broken,isPartial
2013-01-06,32,False
2013-01-13,33,False
2013-01-20,34,False
2013-01-27,32,False
2013-02-03,30,False
2013-02-10,30,False
2013-02-17,32,False
2013-02-24,31,False
2013-03-03,30,False
2013-03-10,31,False
2013-03-17,32,False
2013-03-24,31,False
2013-03-31,100,False
2013-04-07,39,False
2013-04-14,33,False
2013-04-21,33,False
2013-04-28,40,False
2013-05-05,34,False
2013-05-12,33,False
2013-05-19,32,False
2013-05-26,37,False
2013-06-02,36,False
2013-06-09,35,False
2013-06-16,33,False
2013-06-23,34,False
2013-06-30,34,False
2013-07-07,34,False
2013-07-14,33,False
2013-07-21,34,False
2013-07-28,35,False
2013-08-04,36,False
2013-08-11,33,False
2013-08-18,33,False
2013-08-25,32,False
2013-09-01,33,False
2013-09-08,31,False
2013-09-15,33,False
2013-09-22,33,False
2013-09-29,30,False
2013-10-06,32,False
2013-10-13,32,False
2013-10-20,33,False
2013-10-27,31,False
2013-11-03,32,False
2013-11-10,33,False
2013-11-17,32,False
2013-11-24,30,False
2013-12-01,29,False
2013-12-08,30,False
2013-12-15,31,False
2013-12-22,33,False
2013-12-29,69,False
