date,unsettling,isPartial
2014-01-05,42,False
2014-01-12,53,False
2014-01-19,53,False
2014-01-26,42,False
2014-02-02,73,False
2014-02-09,17,False
2014-02-16,52,False
2014-02-23,51,False
2014-03-02,51,False
2014-03-09,35,False
2014-03-16,49,False
2014-03-23,31,False
2014-03-30,59,False
2014-04-06,35,False
2014-04-13,72,False
2014-04-20,100,False
2014-04-27,35,False
2014-05-04,54,False
2014-05-11,40,False
2014-05-18,48,False
2014-05-25,73,False
2014-06-01,58,False
2014-06-08,38,False
2014-06-15,47,False
2014-06-22,34,False
2014-06-29,41,False
2014-07-06,71,False
2014-07-13,34,False
2014-07-20,38,False
2014-07-27,67,False
2014-08-03,35,False
2014-08-10,20,False
2014-08-17,62,False
2014-08-24,56,False
2014-08-31,56,False
2014-09-07,35,False
2014-09-14,47,False
2014-09-21,51,False
2014-09-28,47,False
2014-10-05,82,False
2014-10-12,58,False
2014-10-19,51,False
2014-10-26,43,False
2014-11-02,61,False
2014-11-09,73,False
2014-11-16,50,False
2014-11-23,78,False
2014-11-30,66,False
2014-12-07,57,False
2014-12-14,56,False
2014-12-21,18,False
2014-12-28,47,False
