date,unsettling,isPartial
2016-01-03,55,False
2016-01-10,53,False
2016-01-17,74,False
2016-01-24,71,False
2016-01-31,96,False
2016-02-07,100,False
2016-02-14,76,False
2016-02-21,75,False
2016-02-28,90,False
2016-03-06,92,False
2016-03-13,56,False
2016-03-20,75,False
2016-03-27,53,False
2016-04-03,70,False
2016-04-10,43,False
2016-04-17,59,False
2016-04-24,56,False
2016-05-01,92,False
2016-05-08,51,False
2016-05-15,58,False
2016-05-22,42,False
2016-05-29,39,False
2016-06-05,79,False
2016-06-12,59,False
2016-06-19,50,False
2016-06-26,49,False
2016-07-03,30,False
2016-07-10,46,False
2016-07-17,39,False
2016-07-24,39,False
2016-07-31,46,False
2016-08-07,45,False
2016-08-14,38,False
2016-08-21,65,False
2016-08-28,41,False
2016-09-04,34,False
2016-09-11,64,False
2016-09-18,75,False
2016-09-25,67,False
2016-10-02,73,False
2016-10-09,81,False
2016-10-16,91,False
2016-10-23,50,False
2016-10-30,79,False
2016-11-06,56,False
2016-11-13,65,False
2016-11-20,51,False
2016-11-27,64,False
2016-12-04,72,False
2016-12-11,56,False
2016-12-18,61,False
2016-12-25,59,False
