date,unsettling,isPartial
2013-01-06,39,False
2013-01-13,56,False
2013-01-20,45,False
2013-01-27,66,False
2013-02-03,28,False
2013-02-10,55,False
2013-02-17,39,False
2013-02-24,33,False
2013-03-03,88,False
2013-03-10,50,False
2013-03-17,28,False
2013-03-24,69,False
2013-03-31,67,False
2013-04-07,72,False
2013-04-14,33,False
2013-04-21,67,False
2013-04-28,33,False
2013-05-05,39,False
2013-05-12,40,False
2013-05-19,51,False
2013-05-26,60,False
2013-06-02,29,False
2013-06-09,18,False
2013-06-16,41,False
2013-06-23,100,False
2013-06-30,30,False
2013-07-07,63,False
2013-07-14,17,False
2013-07-21,63,False
2013-07-28,40,False
2013-08-04,63,False
2013-08-11,40,False
2013-08-18,62,False
2013-08-25,55,False
2013-09-01,45,False
2013-09-08,81,False
2013-09-15,38,False
2013-09-22,66,False
2013-09-29,60,False
2013-10-06,50,False
2013-10-13,66,False
2013-10-20,65,False
2013-10-27,66,False
2013-11-03,60,False
2013-11-10,81,False
2013-11-17,58,False
2013-11-24,40,False
2013-12-01,81,False
2013-12-08,59,False
2013-12-15,50,False
2013-12-22,76,False
2013-12-29,11,False
