date,unsettling,isPartial
2015-01-04,35,False
2015-01-11,49,False
2015-01-18,81,False
2015-01-25,30,False
2015-02-01,55,False
2015-02-08,22,False
2015-02-15,38,False
2015-02-22,41,False
2015-03-01,48,False
2015-03-08,15,False
2015-03-15,61,False
2015-03-22,34,False
2015-03-29,71,False
2015-04-05,66,False
2015-04-12,49,False
2015-04-19,62,False
2015-04-26,47,False
2015-05-03,52,False
2015-05-10,40,False
2015-05-17,20,False
2015-05-24,47,False
2015-05-31,58,False
2015-06-07,38,False
2015-06-14,42,False
2015-06-21,42,False
2015-06-28,39,False
2015-07-05,63,False
2015-07-12,55,False
2015-07-19,71,False
2015-07-26,25,False
2015-08-02,50,False
2015-08-09,46,False
2015-08-16,66,False
2015-08-23,48,False
2015-08-30,51,False
2015-09-06,32,False
2015-09-13,100,False
2015-09-20,53,False
2015-09-27,87,False
2015-10-04,62,False
2015-10-11,84,False
2015-10-18,78,False
2015-10-25,45,False
2015-11-01,63,False
2015-11-08,78,False
2015-11-15,70,False
2015-11-22,32,False
2015-11-29,79,False
2015-12-06,33,False
2015-12-13,41,False
2015-12-20,39,False
2015-12-27,56,False
