date,unsettling,isPartial
2012-01-01,39,False
2012-01-08,51,False
2012-01-15,29,False
2012-01-22,57,False
2012-01-29,50,False
2012-02-05,43,False
2012-02-12,35,False
2012-02-19,43,False
2012-02-26,80,False
2012-03-04,15,False
2012-03-11,29,False
2012-03-18,72,False
2012-03-25,50,False
2012-04-01,52,False
2012-04-08,45,False
2012-04-15,100,False
2012-04-22,71,False
2012-04-29,42,False
2012-05-06,43,False
2012-05-13,43,False
2012-05-20,65,False
2012-05-27,37,False
2012-06-03,37,False
2012-06-10,29,False
2012-06-17,44,False
2012-06-24,43,False
2012-07-01,30,False
2012-07-08,86,False
2012-07-15,36,False
2012-07-22,64,False
2012-07-29,36,False
2012-08-05,7,False
2012-08-12,21,False
2012-08-19,56,False
2012-08-26,35,False
2012-09-02,70,False
2012-09-09,54,False
2012-09-16,27,False
2012-09-23,47,False
2012-09-30,53,False
2012-10-07,52,False
2012-10-14,57,False
2012-10-21,51,False
2012-10-28,72,False
2012-11-04,83,False
2012-11-11,66,False
2012-11-18,34,False
2012-11-25,30,False
2012-12-02,75,False
2012-12-09,44,False
2012-12-16,45,False
2012-12-23,22,False
2012-12-30,33,False
