geoName,debilitating
Alabama,48
Alaska,0
Arizona,47
Arkansas,66
California,55
Colorado,44
Connecticut,52
Delaware,51
District of Columbia,52
Florida,66
Georgia,62
Hawaii,79
Idaho,44
Illinois,53
Indiana,73
Iowa,65
Kansas,31
Kentucky,31
Louisiana,46
Maine,28
Maryland,67
Massachusetts,51
Michigan,59
Minnesota,47
Mississippi,81
Missouri,49
Montana,43
Nebraska,64
Nevada,61
New Hampshire,100
New Jersey,47
New Mexico,35
New York,51
North Carolina,51
North Dakota,56
Ohio,55
Oklahoma,62
Oregon,64
Pennsylvania,68
Rhode Island,41
South Carolina,57
South Dakota,0
Tennessee,63
Texas,46
Utah,47
Vermont,0
Virginia,34
Washington,50
West Virginia,83
Wisconsin,46
Wyoming,0
