geoName,debilitating
Alabama,100
Alaska,0
Arizona,78
Arkansas,75
California,64
Colorado,51
Connecticut,92
Delaware,38
District of Columbia,88
Florida,79
Georgia,74
Hawaii,88
Idaho,91
Illinois,63
Indiana,64
Iowa,39
Kansas,70
Kentucky,42
Louisiana,42
Maine,59
Maryland,90
Massachusetts,73
Michigan,74
Minnesota,58
Mississippi,45
Missouri,86
Montana,95
Nebraska,62
Nevada,41
New Hampshire,63
New Jersey,51
New Mexico,94
New York,76
North Carolina,57
North Dakota,68
Ohio,65
Oklahoma,51
Oregon,51
Pennsylvania,89
Rhode Island,64
South Carolina,47
South Dakota,0
Tennessee,80
Texas,48
Utah,63
Vermont,0
Virginia,58
Washington,69
West Virginia,37
Wisconsin,60
Wyoming,0
