geoName,debilitating
Alabama,12
Alaska,0
Arizona,49
Arkansas,34
California,41
Colorado,45
Connecticut,28
Delaware,74
District of Columbia,64
Florida,38
Georgia,47
Hawaii,25
Idaho,0
Illinois,37
Indiana,66
Iowa,35
Kansas,44
Kentucky,51
Louisiana,80
Maine,59
Maryland,46
Massachusetts,48
Michigan,59
Minnesota,43
Mississippi,60
Missouri,62
Montana,76
Nebraska,40
Nevada,55
New Hampshire,100
New Jersey,34
New Mexico,80
New York,36
North Carolina,30
North Dakota,0
Ohio,51
Oklahoma,28
Oregon,40
Pennsylvania,54
Rhode Island,81
South Carolina,49
South Dakota,0
Tennessee,30
Texas,31
Utah,42
Vermont,0
Virginia,56
Washington,39
West Virginia,34
Wisconsin,36
Wyoming,0
