geoName,debilitating
Alabama,31
Alaska,0
Arizona,51
Arkansas,52
California,52
Colorado,36
Connecticut,72
Delaware,81
District of Columbia,47
Florida,39
Georgia,38
Hawaii,48
Idaho,49
Illinois,53
Indiana,42
Iowa,33
Kansas,20
Kentucky,51
Louisiana,55
Maine,59
Maryland,59
Massachusetts,55
Michigan,43
Minnesota,57
Mississippi,74
Missouri,49
Montana,49
Nebraska,42
Nevada,17
New Hampshire,52
New Jersey,56
New Mexico,34
New York,48
North Carolina,44
North Dakota,79
Ohio,43
Oklahoma,43
Oregon,36
Pennsylvania,49
Rhode Island,88
South Carolina,39
South Dakota,0
Tennessee,32
Texas,45
Utah,47
Vermont,0
Virginia,42
Washington,42
West Virginia,100
Wisconsin,46
Wyoming,0
