geoName,aid
Alabama,51
Alaska,34
Arizona,31
Arkansas,39
California,69
Colorado,35
Connecticut,58
Delaware,90
District of Columbia,78
Florida,32
Georgia,54
Hawaii,36
Idaho,47
Illinois,36
Indiana,34
Iowa,31
Kansas,31
Kentucky,65
Louisiana,54
Maine,100
Maryland,72
Massachusetts,63
Michigan,73
Minnesota,31
Mississippi,49
Missouri,32
Montana,31
Nebraska,32
Nevada,31
New Hampshire,97
New Jersey,74
New Mexico,36
New York,85
North Carolina,57
North Dakota,30
Ohio,55
Oklahoma,35
Oregon,66
Pennsylvania,96
Rhode Island,69
South Carolina,50
South Dakota,29
Tennessee,43
Texas,36
Utah,41
Vermont,98
Virginia,61
Washington,72
West Virginia,96
Wisconsin,31
Wyoming,29
