geoName,aid
Alabama,56
Alaska,36
Arizona,40
Arkansas,39
California,70
Colorado,41
Connecticut,57
Delaware,89
District of Columbia,72
Florida,42
Georgia,58
Hawaii,55
Idaho,55
Illinois,44
Indiana,38
Iowa,37
Kansas,39
Kentucky,66
Louisiana,52
Maine,100
Maryland,72
Massachusetts,66
Michigan,70
Minnesota,36
Mississippi,54
Missouri,36
Montana,39
Nebraska,37
Nevada,41
New Hampshire,93
New Jersey,74
New Mexico,41
New York,81
North Carolina,67
North Dakota,39
Ohio,58
Oklahoma,42
Oregon,45
Pennsylvania,91
Rhode Island,70
South Carolina,55
South Dakota,28
Tennessee,49
Texas,38
Utah,47
Vermont,99
Virginia,54
Washington,74
West Virginia,92
Wisconsin,36
Wyoming,38
