date,aid,isPartial
2013-01-06,90,False
2013-01-13,89,False
2013-01-20,80,False
2013-01-27,82,False
2013-02-03,74,False
2013-02-10,75,False
2013-02-17,76,False
2013-02-24,80,False
2013-03-03,76,False
2013-03-10,77,False
2013-03-17,80,False
2013-03-24,83,False
2013-03-31,80,False
2013-04-07,80,False
2013-04-14,77,False
2013-04-21,81,False
2013-04-28,81,False
2013-05-05,79,False
2013-05-12,84,False
2013-05-19,78,False
2013-05-26,80,False
2013-06-02,79,False
2013-06-09,81,False
2013-06-16,79,False
2013-06-23,84,False
2013-06-30,82,False
2013-07-07,87,False
2013-07-14,84,False
2013-07-21,85,False
2013-07-28,92,False
2013-08-04,92,False
2013-08-11,95,False
2013-08-18,100,False
2013-08-25,90,False
2013-09-01,83,False
2013-09-08,83,False
2013-09-15,79,False
2013-09-22,79,False
2013-09-29,76,False
2013-10-06,76,False
2013-10-13,71,False
2013-10-20,72,False
2013-10-27,70,False
2013-11-03,73,False
2013-11-10,77,False
2013-11-17,74,False
2013-11-24,72,False
2013-12-01,77,False
2013-12-08,77,False
2013-12-15,80,False
2013-12-22,76,False
2013-12-29,77,False
