geoName,aid
Alabama,50
Alaska,31
Arizona,32
Arkansas,35
California,63
Colorado,36
Connecticut,54
Delaware,80
District of Columbia,74
Florida,36
Georgia,53
Hawaii,44
Idaho,49
Illinois,37
Indiana,38
Iowa,35
Kansas,26
Kentucky,60
Louisiana,48
Maine,100
Maryland,65
Massachusetts,60
Michigan,66
Minnesota,33
Mississippi,50
Missouri,33
Montana,34
Nebraska,36
Nevada,40
New Hampshire,90
New Jersey,67
New Mexico,34
New York,73
North Carolina,57
North Dakota,30
Ohio,52
Oklahoma,34
Oregon,46
Pennsylvania,77
Rhode Island,66
South Carolina,55
South Dakota,27
Tennessee,43
Texas,36
Utah,41
Vermont,83
Virginia,41
Washington,68
West Virginia,91
Wisconsin,30
Wyoming,32
