date,aid,isPartial
2012-01-01,88,False
2012-01-08,87,False
2012-01-15,81,False
2012-01-22,81,False
2012-01-29,79,False
2012-02-05,78,False
2012-02-12,74,False
2012-02-19,77,False
2012-02-26,81,False
2012-03-04,78,False
2012-03-11,74,False
2012-03-18,73,False
2012-03-25,81,False
2012-04-01,80,False
2012-04-08,81,False
2012-04-15,81,False
2012-04-22,82,False
2012-04-29,80,False
2012-05-06,81,False
2012-05-13,79,False
2012-05-20,79,False
2012-05-27,82,False
2012-06-03,83,False
2012-06-10,82,False
2012-06-17,82,False
2012-06-24,81,False
2012-07-01,78,False
2012-07-08,87,False
2012-07-15,83,False
2012-07-22,88,False
2012-07-29,94,False
2012-08-05,94,False
2012-08-12,100,False
2012-08-19,97,False
2012-08-26,90,False
2012-09-02,83,False
2012-09-09,85,False
2012-09-16,84,False
2012-09-23,78,False
2012-09-30,77,False
2012-10-07,69,False
2012-10-14,72,False
2012-10-21,71,False
2012-10-28,73,False
2012-11-04,71,False
2012-11-11,75,False
2012-11-18,70,False
2012-11-25,75,False
2012-12-02,77,False
2012-12-09,73,False
2012-12-16,79,False
2012-12-23,74,False
2012-12-30,81,False
