geoName,aid
Alabama,57
Alaska,40
Arizona,42
Arkansas,44
California,75
Colorado,43
Connecticut,60
Delaware,91
District of Columbia,81
Florida,44
Georgia,58
Hawaii,45
Idaho,60
Illinois,48
Indiana,44
Iowa,43
Kansas,40
Kentucky,68
Louisiana,57
Maine,100
Maryland,76
Massachusetts,67
Michigan,70
Minnesota,38
Mississippi,60
Missouri,40
Montana,43
Nebraska,42
Nevada,37
New Hampshire,96
New Jersey,75
New Mexico,43
New York,75
North Carolina,64
North Dakota,36
Ohio,61
Oklahoma,57
Oregon,72
Pennsylvania,90
Rhode Island,76
South Carolina,55
South Dakota,38
Tennessee,53
Texas,41
Utah,52
Vermont,100
Virginia,67
Washington,74
West Virginia,92
Wisconsin,38
Wyoming,39
