geoName,vulnerable
Alabama,57
Alaska,77
Arizona,64
Arkansas,44
California,67
Colorado,61
Connecticut,48
Delaware,64
District of Columbia,66
Florida,59
Georgia,54
Hawaii,71
Idaho,72
Illinois,60
Indiana,60
Iowa,66
Kansas,56
Kentucky,54
Louisiana,60
Maine,50
Maryland,80
Massachusetts,61
Michigan,58
Minnesota,100
Mississippi,79
Missouri,52
Montana,37
Nebraska,59
Nevada,67
New Hampshire,51
New Jersey,62
New Mexico,75
New York,62
North Carolina,58
North Dakota,60
Ohio,52
Oklahoma,57
Oregon,61
Pennsylvania,56
Rhode Island,55
South Carolina,48
South Dakota,67
Tennessee,43
Texas,59
Utah,61
Vermont,74
Virginia,58
Washington,56
West Virginia,52
Wisconsin,51
Wyoming,38
