geoName,vulnerable
Alabama,56
Alaska,52
Arizona,58
Arkansas,51
California,63
Colorado,44
Connecticut,52
Delaware,48
District of Columbia,58
Florida,54
Georgia,50
Hawaii,58
Idaho,60
Illinois,49
Indiana,64
Iowa,48
Kansas,41
Kentucky,58
Louisiana,50
Maine,49
Maryland,84
Massachusetts,50
Michigan,50
Minnesota,100
Mississippi,77
Missouri,46
Montana,43
Nebraska,57
Nevada,47
New Hampshire,44
New Jersey,56
New Mexico,61
New York,56
North Carolina,54
North Dakota,59
Ohio,47
Oklahoma,52
Oregon,41
Pennsylvania,45
Rhode Island,41
South Carolina,50
South Dakota,70
Tennessee,49
Texas,50
Utah,46
Vermont,74
Virginia,52
Washington,58
West Virginia,55
Wisconsin,51
Wyoming,76
