date,vulnerable,isPartial
2014-01-05,49,False
2014-01-12,49,False
2014-01-19,50,False
2014-01-26,58,False
2014-02-02,57,False
2014-02-09,57,False
2014-02-16,66,False
2014-02-23,58,False
2014-03-02,51,False
2014-03-09,57,False
2014-03-16,53,False
2014-03-23,59,False
2014-03-30,59,False
2014-04-06,100,False
2014-04-13,75,False
2014-04-20,65,False
2014-04-27,66,False
2014-05-04,62,False
2014-05-11,49,False
2014-05-18,50,False
2014-05-25,48,False
2014-06-01,44,False
2014-06-08,47,False
2014-06-15,49,False
2014-06-22,48,False
2014-06-29,45,False
2014-07-06,44,False
2014-07-13,38,False
2014-07-20,52,False
2014-07-27,40,False
2014-08-03,47,False
2014-08-10,44,False
2014-08-17,40,False
2014-08-24,51,False
2014-08-31,52,False
2014-09-07,56,False
2014-09-14,49,False
2014-09-21,66,False
2014-09-28,76,False
2014-10-05,65,False
2014-10-12,69,False
2014-10-19,59,False
2014-10-26,61,False
2014-11-02,62,False
2014-11-09,55,False
2014-11-16,68,False
2014-11-23,47,False
2014-11-30,60,False
2014-12-07,65,False
2014-12-14,46,False
2014-12-21,38,False
2014-12-28,35,False
