date,vulnerable,isPartial
2016-01-03,71,False
2016-01-10,71,False
2016-01-17,73,False
2016-01-24,87,False
2016-01-31,85,False
2016-02-07,86,False
2016-02-14,84,False
2016-02-21,85,False
2016-02-28,92,False
2016-03-06,85,False
2016-03-13,78,False
2016-03-20,82,False
2016-03-27,83,False
2016-04-03,84,False
2016-04-10,87,False
2016-04-17,79,False
2016-04-24,90,False
2016-05-01,81,False
2016-05-08,75,False
2016-05-15,82,False
2016-05-22,74,False
2016-05-29,65,False
2016-06-05,65,False
2016-06-12,61,False
2016-06-19,65,False
2016-06-26,61,False
2016-07-03,62,False
2016-07-10,56,False
2016-07-17,63,False
2016-07-24,55,False
2016-07-31,49,False
2016-08-07,56,False
2016-08-14,57,False
2016-08-21,75,False
2016-08-28,67,False
2016-09-04,76,False
2016-09-11,78,False
2016-09-18,78,False
2016-09-25,77,False
2016-10-02,88,False
2016-10-09,80,False
2016-10-16,88,False
2016-10-23,100,False
2016-10-30,81,False
2016-11-06,76,False
2016-11-13,85,False
2016-11-20,62,False
2016-11-27,89,False
2016-12-04,96,False
2016-12-11,74,False
2016-12-18,52,False
2016-12-25,52,False
