date,vulnerable,isPartial
2012-01-01,48,False
2012-01-08,49,False
2012-01-15,60,False
2012-01-22,47,False
2012-01-29,71,False
2012-02-05,60,False
2012-02-12,64,False
2012-02-19,68,False
2012-02-26,78,False
2012-03-04,61,False
2012-03-11,74,False
2012-03-18,62,False
2012-03-25,100,False
2012-04-01,75,False
2012-04-08,74,False
2012-04-15,64,False
2012-04-22,67,False
2012-04-29,70,False
2012-05-06,62,False
2012-05-13,62,False
2012-05-20,57,False
2012-05-27,53,False
2012-06-03,52,False
2012-06-10,52,False
2012-06-17,53,False
2012-06-24,43,False
2012-07-01,49,False
2012-07-08,46,False
2012-07-15,55,False
2012-07-22,52,False
2012-07-29,42,False
2012-08-05,53,False
2012-08-12,50,False
2012-08-19,47,False
2012-08-26,55,False
2012-09-02,66,False
2012-09-09,61,False
2012-09-16,55,False
2012-09-23,66,False
2012-09-30,58,False
2012-10-07,64,False
2012-10-14,64,False
2012-10-21,65,False
2012-10-28,55,False
2012-11-04,73,False
2012-11-11,62,False
2012-11-18,50,False
2012-11-25,72,False
2012-12-02,64,False
2012-12-09,64,False
2012-12-16,45,False
2012-12-23,42,False
2012-12-30,47,False
