geoName,vulnerable
Alabama,67
Alaska,82
Arizona,72
Arkansas,69
California,73
Colorado,54
Connecticut,57
Delaware,59
District of Columbia,72
Florida,70
Georgia,67
Hawaii,91
Idaho,73
Illinois,63
Indiana,78
Iowa,68
Kansas,55
Kentucky,76
Louisiana,58
Maine,52
Maryland,81
Massachusetts,55
Michigan,69
Minnesota,99
Mississippi,95
Missouri,51
Montana,55
Nebraska,55
Nevada,60
New Hampshire,49
New Jersey,60
New Mexico,65
New York,66
North Carolina,62
North Dakota,61
Ohio,67
Oklahoma,55
Oregon,62
Pennsylvania,61
Rhode Island,58
South Carolina,66
South Dakota,50
Tennessee,54
Texas,59
Utah,89
Vermont,87
Virginia,75
Washington,72
West Virginia,65
Wisconsin,65
Wyoming,100
