geoName,vulnerable
Alabama,65
Alaska,61
Arizona,69
Arkansas,60
California,77
Colorado,59
Connecticut,55
Delaware,74
District of Columbia,98
Florida,70
Georgia,62
Hawaii,68
Idaho,57
Illinois,59
Indiana,64
Iowa,48
Kansas,50
Kentucky,54
Louisiana,61
Maine,78
Maryland,79
Massachusetts,64
Michigan,59
Minnesota,99
Mississippi,75
Missouri,53
Montana,45
Nebraska,59
Nevada,64
New Hampshire,72
New Jersey,71
New Mexico,48
New York,68
North Carolina,71
North Dakota,100
Ohio,57
Oklahoma,61
Oregon,46
Pennsylvania,56
Rhode Island,35
South Carolina,64
South Dakota,67
Tennessee,62
Texas,63
Utah,55
Vermont,86
Virginia,60
Washington,60
West Virginia,55
Wisconsin,55
Wyoming,83
