date,vulnerable,isPartial
2013-01-06,68,False
2013-01-13,70,False
2013-01-20,63,False
2013-01-27,88,False
2013-02-03,76,False
2013-02-10,71,False
2013-02-17,82,False
2013-02-24,70,False
2013-03-03,90,False
2013-03-10,75,False
2013-03-17,86,False
2013-03-24,65,False
2013-03-31,75,False
2013-04-07,83,False
2013-04-14,74,False
2013-04-21,90,False
2013-04-28,88,False
2013-05-05,79,False
2013-05-12,74,False
2013-05-19,71,False
2013-05-26,75,False
2013-06-02,68,False
2013-06-09,73,False
2013-06-16,57,False
2013-06-23,60,False
2013-06-30,58,False
2013-07-07,63,False
2013-07-14,63,False
2013-07-21,60,False
2013-07-28,56,False
2013-08-04,52,False
2013-08-11,60,False
2013-08-18,50,False
2013-08-25,69,False
2013-09-01,72,False
2013-09-08,73,False
2013-09-15,77,False
2013-09-22,88,False
2013-09-29,86,False
2013-10-06,90,False
2013-10-13,83,False
2013-10-20,88,False
2013-10-27,93,False
2013-11-03,89,False
2013-11-10,82,False
2013-11-17,100,False
2013-11-24,73,False
2013-12-01,98,False
2013-12-08,98,False
2013-12-15,67,False
2013-12-22,46,False
2013-12-29,52,False
