geoName,vulnerable
Alabama,57
Alaska,59
Arizona,65
Arkansas,60
California,76
Colorado,50
Connecticut,64
Delaware,83
District of Columbia,74
Florida,59
Georgia,60
Hawaii,73
Idaho,68
Illinois,63
Indiana,49
Iowa,73
Kansas,68
Kentucky,58
Louisiana,71
Maine,53
Maryland,74
Massachusetts,60
Michigan,63
Minnesota,98
Mississippi,82
Missouri,58
Montana,44
Nebraska,78
Nevada,64
New Hampshire,61
New Jersey,63
New Mexico,77
New York,66
North Carolina,65
North Dakota,75
Ohio,63
Oklahoma,58
Oregon,60
Pennsylvania,62
Rhode Island,72
South Carolina,68
South Dakota,100
Tennessee,59
Texas,64
Utah,60
Vermont,96
Virginia,69
Washington,64
West Virginia,63
Wisconsin,54
Wyoming,68
