geoName,amenorrhea
Alabama,47
Alaska,40
Arizona,54
Arkansas,59
California,54
Colorado,54
Connecticut,65
Delaware,100
District of Columbia,49
Florida,67
Georgia,50
Hawaii,50
Idaho,67
Illinois,63
Indiana,67
Iowa,57
Kansas,76
Kentucky,69
Louisiana,70
Maine,44
Maryland,64
Massachusetts,66
Michigan,55
Minnesota,49
Mississippi,47
Missouri,64
Montana,17
Nebraska,67
Nevada,55
New Hampshire,52
New Jersey,60
New Mexico,86
New York,61
North Carolina,57
North Dakota,65
Ohio,63
Oklahoma,61
Oregon,41
Pennsylvania,81
Rhode Island,47
South Carolina,45
South Dakota,66
Tennessee,77
Texas,47
Utah,37
Vermont,21
Virginia,41
Washington,48
West Virginia,97
Wisconsin,56
Wyoming,47
