geoName,amenorrhea
Alabama,64
Alaska,36
Arizona,68
Arkansas,62
California,58
Colorado,68
Connecticut,74
Delaware,61
District of Columbia,55
Florida,71
Georgia,76
Hawaii,74
Idaho,92
Illinois,61
Indiana,62
Iowa,71
Kansas,68
Kentucky,82
Louisiana,46
Maine,73
Maryland,83
Massachusetts,81
Michigan,64
Minnesota,68
Mississippi,65
Missouri,79
Montana,56
Nebraska,72
Nevada,65
New Hampshire,97
New Jersey,58
New Mexico,91
New York,74
North Carolina,62
North Dakota,69
Ohio,55
Oklahoma,80
Oregon,88
Pennsylvania,71
Rhode Island,61
South Carolina,79
South Dakota,57
Tennessee,65
Texas,71
Utah,83
Vermont,100
Virginia,72
Washington,51
West Virginia,74
Wisconsin,48
Wyoming,52
