geoName,amenorrhea
Alabama,51
Alaska,57
Arizona,53
Arkansas,21
California,45
Colorado,47
Connecticut,49
Delaware,57
District of Columbia,44
Florida,43
Georgia,62
Hawaii,47
Idaho,43
Illinois,40
Indiana,38
Iowa,45
Kansas,62
Kentucky,53
Louisiana,42
Maine,48
Maryland,59
Massachusetts,47
Michigan,55
Minnesota,43
Mississippi,22
Missouri,70
Montana,23
Nebraska,55
Nevada,36
New Hampshire,75
New Jersey,48
New Mexico,43
New York,42
North Carolina,49
North Dakota,100
Ohio,56
Oklahoma,45
Oregon,53
Pennsylvania,62
Rhode Island,22
South Carolina,63
South Dakota,57
Tennessee,67
Texas,42
Utah,48
Vermont,25
Virginia,54
Washington,42
West Virginia,46
Wisconsin,54
Wyoming,47
