geoName,amenorrhea
Alabama,75
Alaska,44
Arizona,69
Arkansas,72
California,50
Colorado,62
Connecticut,72
Delaware,23
District of Columbia,49
Florida,65
Georgia,66
Hawaii,93
Idaho,50
Illinois,59
Indiana,73
Iowa,58
Kansas,69
Kentucky,61
Louisiana,61
Maine,98
Maryland,68
Massachusetts,76
Michigan,58
Minnesota,58
Mississippi,89
Missouri,49
Montana,59
Nebraska,43
Nevada,47
New Hampshire,100
New Jersey,64
New Mexico,63
New York,54
North Carolina,70
North Dakota,59
Ohio,68
Oklahoma,59
Oregon,59
Pennsylvania,73
Rhode Island,55
South Carolina,69
South Dakota,92
Tennessee,72
Texas,53
Utah,77
Vermont,40
Virginia,72
Washington,50
West Virginia,75
Wisconsin,78
Wyoming,48
