geoName,affect
Alabama,84
Alaska,69
Arizona,80
Arkansas,84
California,76
Colorado,79
Connecticut,81
Delaware,86
District of Columbia,59
Florida,78
Georgia,82
Hawaii,78
Idaho,80
Illinois,72
Indiana,87
Iowa,89
Kansas,77
Kentucky,81
Louisiana,82
Maine,83
Maryland,80
Massachusetts,69
Michigan,79
Minnesota,78
Mississippi,100
Missouri,81
Montana,75
Nebraska,72
Nevada,67
New Hampshire,81
New Jersey,76
New Mexico,77
New York,69
North Carolina,86
North Dakota,85
Ohio,78
Oklahoma,85
Oregon,68
Pennsylvania,79
Rhode Island,79
South Carolina,87
South Dakota,94
Tennessee,74
Texas,74
Utah,74
Vermont,84
Virginia,76
Washington,66
West Virginia,92
Wisconsin,84
Wyoming,81
