date,affect,isPartial
2013-01-06,52,False
2013-01-13,56,False
2013-01-20,56,False
2013-01-27,61,False
2013-02-03,61,False
2013-02-10,58,False
2013-02-17,62,False
2013-02-24,64,False
2013-03-03,63,False
2013-03-10,59,False
2013-03-17,61,False
2013-03-24,53,False
2013-03-31,54,False
2013-04-07,65,False
2013-04-14,63,False
2013-04-21,65,False
2013-04-28,62,False
2013-05-05,58,False
2013-05-12,56,False
2013-05-19,53,False
2013-05-26,47,False
2013-06-02,46,False
2013-06-09,41,False
2013-06-16,39,False
2013-06-23,40,False
2013-06-30,33,False
2013-07-07,38,False
2013-07-14,36,False
2013-07-21,37,False
2013-07-28,37,False
2013-08-04,35,False
2013-08-11,36,False
2013-08-18,40,False
2013-08-25,44,False
2013-09-01,47,False
2013-09-08,57,False
2013-09-15,66,False
2013-09-22,65,False
2013-09-29,100,False
2013-10-06,76,False
2013-10-13,70,False
2013-10-20,68,False
2013-10-27,69,False
2013-11-03,67,False
2013-11-10,67,False
2013-11-17,72,False
2013-11-24,46,False
2013-12-01,65,False
2013-12-08,68,False
2013-12-15,55,False
2013-12-22,26,False
2013-12-29,35,False
