geoName,affect
Alabama,91
Alaska,79
Arizona,87
Arkansas,96
California,75
Colorado,76
Connecticut,84
Delaware,84
District of Columbia,61
Florida,82
Georgia,77
Hawaii,78
Idaho,88
Illinois,73
Indiana,96
Iowa,92
Kansas,73
Kentucky,80
Louisiana,79
Maine,87
Maryland,87
Massachusetts,72
Michigan,83
Minnesota,77
Mississippi,96
Missouri,82
Montana,81
Nebraska,80
Nevada,70
New Hampshire,77
New Jersey,80
New Mexico,93
New York,72
North Carolina,97
North Dakota,82
Ohio,84
Oklahoma,76
Oregon,47
Pennsylvania,82
Rhode Island,78
South Carolina,86
South Dakota,100
Tennessee,81
Texas,78
Utah,87
Vermont,92
Virginia,63
Washington,70
West Virginia,89
Wisconsin,82
Wyoming,85
