date,affect,isPartial
2016-01-03,78,False
2016-01-10,81,False
2016-01-17,84,False
2016-01-24,93,False
2016-01-31,93,False
2016-02-07,91,False
2016-02-14,85,False
2016-02-21,97,False
2016-02-28,92,False
2016-03-06,93,False
2016-03-13,86,False
2016-03-20,81,False
2016-03-27,84,False
2016-04-03,92,False
2016-04-10,98,False
2016-04-17,91,False
2016-04-24,92,False
2016-05-01,92,False
2016-05-08,85,False
2016-05-15,81,False
2016-05-22,74,False
2016-05-29,60,False
2016-06-05,63,False
2016-06-12,57,False
2016-06-19,59,False
2016-06-26,53,False
2016-07-03,47,False
2016-07-10,51,False
2016-07-17,51,False
2016-07-24,49,False
2016-07-31,48,False
2016-08-07,48,False
2016-08-14,51,False
2016-08-21,59,False
2016-08-28,70,False
2016-09-04,74,False
2016-09-11,86,False
2016-09-18,90,False
2016-09-25,92,False
2016-10-02,94,False
2016-10-09,88,False
2016-10-16,92,False
2016-10-23,97,False
2016-10-30,94,False
2016-11-06,93,False
2016-11-13,100,False
2016-11-20,62,False
2016-11-27,97,False
2016-12-04,100,False
2016-12-11,95,False
2016-12-18,58,False
2016-12-25,42,False
