date,affect,isPartial
2014-01-05,76,False
2014-01-12,86,False
2014-01-19,82,False
2014-01-26,87,False
2014-02-02,87,False
2014-02-09,85,False
2014-02-16,89,False
2014-02-23,99,False
2014-03-02,93,False
2014-03-09,90,False
2014-03-16,90,False
2014-03-23,87,False
2014-03-30,90,False
2014-04-06,92,False
2014-04-13,87,False
2014-04-20,91,False
2014-04-27,94,False
2014-05-04,91,False
2014-05-11,89,False
2014-05-18,82,False
2014-05-25,75,False
2014-06-01,68,False
2014-06-08,62,False
2014-06-15,57,False
2014-06-22,57,False
2014-06-29,52,False
2014-07-06,55,False
2014-07-13,53,False
2014-07-20,56,False
2014-07-27,54,False
2014-08-03,54,False
2014-08-10,55,False
2014-08-17,57,False
2014-08-24,69,False
2014-08-31,73,False
2014-09-07,88,False
2014-09-14,92,False
2014-09-21,92,False
2014-09-28,97,False
2014-10-05,97,False
2014-10-12,94,False
2014-10-19,97,False
2014-10-26,96,False
2014-11-02,96,False
2014-11-09,97,False
2014-11-16,98,False
2014-11-23,65,False
2014-11-30,98,False
2014-12-07,100,False
2014-12-14,84,False
2014-12-21,42,False
2014-12-28,48,False
