date,affect,isPartial
2015-01-04,74,False
2015-01-11,81,False
2015-01-18,82,False
2015-01-25,88,False
2015-02-01,86,False
2015-02-08,89,False
2015-02-15,80,False
2015-02-22,91,False
2015-03-01,88,False
2015-03-08,87,False
2015-03-15,82,False
2015-03-22,84,False
2015-03-29,79,False
2015-04-05,78,False
2015-04-12,87,False
2015-04-19,90,False
2015-04-26,90,False
2015-05-03,87,False
2015-05-10,82,False
2015-05-17,79,False
2015-05-24,69,False
2015-05-31,65,False
2015-06-07,59,False
2015-06-14,53,False
2015-06-21,55,False
2015-06-28,51,False
2015-07-05,54,False
2015-07-12,53,False
2015-07-19,52,False
2015-07-26,51,False
2015-08-02,52,False
2015-08-09,53,False
2015-08-16,56,False
2015-08-23,66,False
2015-08-30,72,False
2015-09-06,77,False
2015-09-13,90,False
2015-09-20,90,False
2015-09-27,96,False
2015-10-04,95,False
2015-10-11,91,False
2015-10-18,97,False
2015-10-25,97,False
2015-11-01,97,False
2015-11-08,96,False
2015-11-15,100,False
2015-11-22,63,False
2015-11-29,98,False
2015-12-06,100,False
2015-12-13,87,False
2015-12-20,45,False
2015-12-27,46,False
