geoName,affect
Alabama,83
Alaska,69
Arizona,82
Arkansas,88
California,74
Colorado,76
Connecticut,78
Delaware,83
District of Columbia,59
Florida,81
Georgia,79
Hawaii,90
Idaho,94
Illinois,70
Indiana,97
Iowa,93
Kansas,83
Kentucky,83
Louisiana,82
Maine,78
Maryland,85
Massachusetts,67
Michigan,83
Minnesota,72
Mississippi,100
Missouri,74
Montana,74
Nebraska,81
Nevada,72
New Hampshire,79
New Jersey,77
New Mexico,82
New York,69
North Carolina,87
North Dakota,84
Ohio,78
Oklahoma,86
Oregon,78
Pennsylvania,81
Rhode Island,84
South Carolina,89
South Dakota,89
Tennessee,85
Texas,77
Utah,85
Vermont,82
Virginia,80
Washington,68
West Virginia,95
Wisconsin,82
Wyoming,89
