geoName,affect
Alabama,87
Alaska,74
Arizona,73
Arkansas,93
California,71
Colorado,76
Connecticut,88
Delaware,84
District of Columbia,56
Florida,74
Georgia,74
Hawaii,75
Idaho,90
Illinois,69
Indiana,95
Iowa,91
Kansas,71
Kentucky,79
Louisiana,84
Maine,86
Maryland,81
Massachusetts,70
Michigan,78
Minnesota,76
Mississippi,100
Missouri,81
Montana,75
Nebraska,73
Nevada,68
New Hampshire,85
New Jersey,77
New Mexico,85
New York,69
North Carolina,88
North Dakota,79
Ohio,82
Oklahoma,74
Oregon,54
Pennsylvania,78
Rhode Island,81
South Carolina,80
South Dakota,92
Tennessee,71
Texas,74
Utah,81
Vermont,87
Virginia,52
Washington,66
West Virginia,90
Wisconsin,83
Wyoming,85
