geoName,affect
Alabama,87
Alaska,67
Arizona,79
Arkansas,82
California,69
Colorado,77
Connecticut,86
Delaware,86
District of Columbia,59
Florida,82
Georgia,82
Hawaii,82
Idaho,83
Illinois,74
Indiana,88
Iowa,80
Kansas,80
Kentucky,84
Louisiana,87
Maine,73
Maryland,90
Massachusetts,68
Michigan,83
Minnesota,72
Mississippi,100
Missouri,79
Montana,84
Nebraska,76
Nevada,68
New Hampshire,79
New Jersey,77
New Mexico,81
New York,69
North Carolina,85
North Dakota,80
Ohio,78
Oklahoma,75
Oregon,72
Pennsylvania,84
Rhode Island,78
South Carolina,85
South Dakota,98
Tennessee,84
Texas,73
Utah,85
Vermont,85
Virginia,78
Washington,72
West Virginia,93
Wisconsin,80
Wyoming,89
