geoName,knowledgeable
Alabama,73
Alaska,36
Arizona,74
Arkansas,54
California,63
Colorado,63
Connecticut,59
Delaware,59
District of Columbia,59
Florida,63
Georgia,51
Hawaii,40
Idaho,100
Illinois,57
Indiana,79
Iowa,58
Kansas,65
Kentucky,54
Louisiana,52
Maine,64
Maryland,56
Massachusetts,57
Michigan,57
Minnesota,61
Mississippi,59
Missouri,46
Montana,71
Nebraska,62
Nevada,77
New Hampshire,76
New Jersey,62
New Mexico,44
New York,71
North Carolina,73
North Dakota,57
Ohio,63
Oklahoma,42
Oregon,48
Pennsylvania,70
Rhode Island,64
South Carolina,90
South Dakota,60
Tennessee,60
Texas,55
Utah,40
Vermont,68
Virginia,71
Washington,49
West Virginia,89
Wisconsin,68
Wyoming,0
