date,knowledgeable,isPartial
2011-01-02,78,False
2011-01-09,66,False
2011-01-16,58,False
2011-01-23,59,False
2011-01-30,82,False
2011-02-06,81,False
2011-02-13,87,False
2011-02-20,91,False
2011-02-27,76,False
2011-03-06,100,False
2011-03-13,71,False
2011-03-20,71,False
2011-03-27,75,False
2011-04-03,69,False
2011-04-10,74,False
2011-04-17,90,False
2011-04-24,84,False
2011-05-01,92,False
2011-05-08,78,False
2011-05-15,68,False
2011-05-22,76,False
2011-05-29,70,False
2011-06-05,67,False
2011-06-12,56,False
2011-06-19,77,False
2011-06-26,82,False
2011-07-03,52,False
2011-07-10,76,False
2011-07-17,80,False
2011-07-24,51,False
2011-07-31,66,False
2011-08-07,67,False
2011-08-14,63,False
2011-08-21,78,False
2011-08-28,85,False
2011-09-04,80,False
2011-09-11,66,False
2011-09-18,100,False
2011-09-25,68,False
2011-10-02,81,False
2011-10-09,76,False
2011-10-16,76,False
2011-10-23,76,False
2011-10-30,72,False
2011-11-06,78,False
2011-11-13,90,False
2011-11-20,56,False
2011-11-27,94,False
2011-12-04,74,False
2011-12-11,88,False
2011-12-18,45,False
2011-12-25,31,False
