geoName,knowledgeable
Alabama,37
Alaska,0
Arizona,57
Arkansas,55
California,56
Colorado,67
Connecticut,42
Delaware,89
District of Columbia,60
Florida,59
Georgia,53
Hawaii,100
Idaho,46
Illinois,55
Indiana,61
Iowa,59
Kansas,44
Kentucky,70
Louisiana,52
Maine,98
Maryland,86
Massachusetts,51
Michigan,51
Minnesota,34
Mississippi,65
Missouri,48
Montana,30
Nebraska,67
Nevada,85
New Hampshire,68
New Jersey,51
New Mexico,48
New York,56
North Carolina,75
North Dakota,95
Ohio,53
Oklahoma,60
Oregon,47
Pennsylvania,39
Rhode Island,58
South Carolina,73
South Dakota,0
Tennessee,69
Texas,49
Utah,50
Vermont,50
Virginia,63
Washington,46
West Virginia,50
Wisconsin,82
Wyoming,0
