date,knowledgeable,isPartial
2013-01-06,87,False
2013-01-13,92,False
2013-01-20,75,False
2013-01-27,69,False
2013-02-03,72,False
2013-02-10,69,False
2013-02-17,84,False
2013-02-24,59,False
2013-03-03,84,False
2013-03-10,71,False
2013-03-17,89,False
2013-03-24,82,False
2013-03-31,65,False
2013-04-07,82,False
2013-04-14,67,False
2013-04-21,100,False
2013-04-28,85,False
2013-05-05,91,False
2013-05-12,62,False
2013-05-19,57,False
2013-05-26,62,False
2013-06-02,59,False
2013-06-09,77,False
2013-06-16,54,False
2013-06-23,81,False
2013-06-30,60,False
2013-07-07,82,False
2013-07-14,55,False
2013-07-21,51,False
2013-07-28,69,False
2013-08-04,51,False
2013-08-11,55,False
2013-08-18,77,False
2013-08-25,96,False
2013-09-01,76,False
2013-09-08,77,False
2013-09-15,90,False
2013-09-22,74,False
2013-09-29,79,False
2013-10-06,82,False
2013-10-13,79,False
2013-10-20,76,False
2013-10-27,84,False
2013-11-03,73,False
2013-11-10,80,False
2013-11-17,70,False
2013-11-24,54,False
2013-12-01,81,False
2013-12-08,77,False
2013-12-15,67,False
2013-12-22,42,False
2013-12-29,53,False
