geoName,knowledgeable
Alabama,78
Alaska,46
Arizona,63
Arkansas,72
California,72
Colorado,91
Connecticut,78
Delaware,58
District of Columbia,49
Florida,72
Georgia,68
Hawaii,73
Idaho,66
Illinois,61
Indiana,63
Iowa,59
Kansas,53
Kentucky,52
Louisiana,64
Maine,58
Maryland,93
Massachusetts,55
Michigan,46
Minnesota,71
Mississippi,50
Missouri,79
Montana,98
Nebraska,59
Nevada,80
New Hampshire,67
New Jersey,54
New Mexico,100
New York,64
North Carolina,77
North Dakota,75
Ohio,68
Oklahoma,63
Oregon,64
Pennsylvania,68
Rhode Island,76
South Carolina,66
South Dakota,90
Tennessee,79
Texas,68
Utah,49
Vermont,99
Virginia,52
Washington,65
West Virginia,42
Wisconsin,59
Wyoming,0
