date,knowledgeable,isPartial
2016-01-03,74,False
2016-01-10,77,False
2016-01-17,87,False
2016-01-24,80,False
2016-01-31,68,False
2016-02-07,100,False
2016-02-14,66,False
2016-02-21,77,False
2016-02-28,91,False
2016-03-06,76,False
2016-03-13,84,False
2016-03-20,81,False
2016-03-27,83,False
2016-04-03,91,False
2016-04-10,73,False
2016-04-17,95,False
2016-04-24,99,False
2016-05-01,96,False
2016-05-08,89,False
2016-05-15,90,False
2016-05-22,78,False
2016-05-29,55,False
2016-06-05,76,False
2016-06-12,77,False
2016-06-19,60,False
2016-06-26,83,False
2016-07-03,55,False
2016-07-10,62,False
2016-07-17,62,False
2016-07-24,64,False
2016-07-31,71,False
2016-08-07,65,False
2016-08-14,55,False
2016-08-21,74,False
2016-08-28,90,False
2016-09-04,68,False
2016-09-11,79,False
2016-09-18,85,False
2016-09-25,82,False
2016-10-02,72,False
2016-10-09,82,False
2016-10-16,72,False
2016-10-23,70,False
2016-10-30,64,False
2016-11-06,78,False
2016-11-13,92,False
2016-11-20,59,False
2016-11-27,79,False
2016-12-04,97,False
2016-12-11,82,False
2016-12-18,47,False
2016-12-25,47,False
