geoName,knowledgeable
Alabama,94
Alaska,26
Arizona,61
Arkansas,78
California,73
Colorado,58
Connecticut,64
Delaware,71
District of Columbia,67
Florida,73
Georgia,56
Hawaii,74
Idaho,64
Illinois,63
Indiana,90
Iowa,77
Kansas,54
Kentucky,50
Louisiana,56
Maine,66
Maryland,81
Massachusetts,69
Michigan,64
Minnesota,65
Mississippi,51
Missouri,60
Montana,35
Nebraska,57
Nevada,84
New Hampshire,93
New Jersey,55
New Mexico,78
New York,67
North Carolina,97
North Dakota,100
Ohio,74
Oklahoma,50
Oregon,49
Pennsylvania,66
Rhode Island,64
South Carolina,52
South Dakota,72
Tennessee,77
Texas,72
Utah,56
Vermont,55
Virginia,58
Washington,55
West Virginia,61
Wisconsin,65
Wyoming,0
