geoName,burger
Alabama,59
Alaska,46
Arizona,79
Arkansas,53
California,92
Colorado,77
Connecticut,68
Delaware,52
District of Columbia,74
Florida,71
Georgia,73
Hawaii,64
Idaho,49
Illinois,78
Indiana,64
Iowa,63
Kansas,63
Kentucky,60
Louisiana,76
Maine,47
Maryland,66
Massachusetts,72
Michigan,71
Minnesota,68
Mississippi,65
Missouri,63
Montana,44
Nebraska,67
Nevada,100
New Hampshire,46
New Jersey,68
New Mexico,61
New York,86
North Carolina,63
North Dakota,49
Ohio,61
Oklahoma,64
Oregon,44
Pennsylvania,55
Rhode Island,73
South Carolina,60
South Dakota,56
Tennessee,69
Texas,78
Utah,77
Vermont,46
Virginia,68
Washington,68
West Virginia,50
Wisconsin,52
Wyoming,52
