date,burger,isPartial
2011-01-02,72,False
2011-01-09,73,False
2011-01-16,74,False
2011-01-23,76,False
2011-01-30,74,False
2011-02-06,67,False
2011-02-13,73,False
2011-02-20,86,False
2011-02-27,74,False
2011-03-06,78,False
2011-03-13,76,False
2011-03-20,89,False
2011-03-27,89,False
2011-04-03,86,False
2011-04-10,81,False
2011-04-17,80,False
2011-04-24,81,False
2011-05-01,76,False
2011-05-08,99,False
2011-05-15,90,False
2011-05-22,91,False
2011-05-29,94,False
2011-06-05,88,False
2011-06-12,89,False
2011-06-19,91,False
2011-06-26,100,False
2011-07-03,97,False
2011-07-10,91,False
2011-07-17,86,False
2011-07-24,89,False
2011-07-31,90,False
2011-08-07,91,False
2011-08-14,93,False
2011-08-21,84,False
2011-08-28,85,False
2011-09-04,84,False
2011-09-11,80,False
2011-09-18,79,False
2011-09-25,81,False
2011-10-02,79,False
2011-10-09,82,False
2011-10-16,81,False
2011-10-23,78,False
2011-10-30,77,False
2011-11-06,82,False
2011-11-13,77,False
2011-11-20,69,False
2011-11-27,72,False
2011-12-04,78,False
2011-12-11,89,False
2011-12-18,77,False
2011-12-25,81,False
