date,burger,isPartial
2013-01-06,77,False
2013-01-13,70,False
2013-01-20,75,False
2013-01-27,78,False
2013-02-03,77,False
2013-02-10,71,False
2013-02-17,83,False
2013-02-24,75,False
2013-03-03,77,False
2013-03-10,76,False
2013-03-17,82,False
2013-03-24,82,False
2013-03-31,82,False
2013-04-07,80,False
2013-04-14,79,False
2013-04-21,80,False
2013-04-28,81,False
2013-05-05,81,False
2013-05-12,84,False
2013-05-19,86,False
2013-05-26,95,False
2013-06-02,89,False
2013-06-09,91,False
2013-06-16,88,False
2013-06-23,90,False
2013-06-30,100,False
2013-07-07,89,False
2013-07-14,86,False
2013-07-21,84,False
2013-07-28,90,False
2013-08-04,93,False
2013-08-11,87,False
2013-08-18,84,False
2013-08-25,82,False
2013-09-01,86,False
2013-09-08,76,False
2013-09-15,78,False
2013-09-22,79,False
2013-09-29,84,False
2013-10-06,80,False
2013-10-13,79,False
2013-10-20,71,False
2013-10-27,74,False
2013-11-03,77,False
2013-11-10,75,False
2013-11-17,71,False
2013-11-24,65,False
2013-12-01,69,False
2013-12-08,68,False
2013-12-15,70,False
2013-12-22,78,False
2013-12-29,81,False
