date,burger,isPartial
2014-01-05,78,False
2014-01-12,78,False
2014-01-19,75,False
2014-01-26,76,False
2014-02-02,69,False
2014-02-09,71,False
2014-02-16,75,False
2014-02-23,77,False
2014-03-02,78,False
2014-03-09,79,False
2014-03-16,80,False
2014-03-23,84,False
2014-03-30,82,False
2014-04-06,81,False
2014-04-13,80,False
2014-04-20,78,False
2014-04-27,82,False
2014-05-04,82,False
2014-05-11,79,False
2014-05-18,89,False
2014-05-25,93,False
2014-06-01,84,False
2014-06-08,82,False
2014-06-15,83,False
2014-06-22,90,False
2014-06-29,100,False
2014-07-06,91,False
2014-07-13,90,False
2014-07-20,90,False
2014-07-27,91,False
2014-08-03,90,False
2014-08-10,96,False
2014-08-17,87,False
2014-08-24,100,False
2014-08-31,84,False
2014-09-07,83,False
2014-09-14,83,False
2014-09-21,77,False
2014-09-28,76,False
2014-10-05,83,False
2014-10-12,81,False
2014-10-19,79,False
2014-10-26,76,False
2014-11-02,77,False
2014-11-09,75,False
2014-11-16,75,False
2014-11-23,71,False
2014-11-30,71,False
2014-12-07,71,False
2014-12-14,72,False
2014-12-21,80,False
2014-12-28,86,False
