date,burger,isPartial
2016-01-03,78,False
2016-01-10,72,False
2016-01-17,75,False
2016-01-24,75,False
2016-01-31,75,False
2016-02-07,74,False
2016-02-14,76,False
2016-02-21,81,False
2016-02-28,79,False
2016-03-06,80,False
2016-03-13,82,False
2016-03-20,84,False
2016-03-27,82,False
2016-04-03,84,False
2016-04-10,83,False
2016-04-17,78,False
2016-04-24,80,False
2016-05-01,77,False
2016-05-08,79,False
2016-05-15,82,False
2016-05-22,86,False
2016-05-29,91,False
2016-06-05,87,False
2016-06-12,86,False
2016-06-19,95,False
2016-06-26,100,False
2016-07-03,97,False
2016-07-10,89,False
2016-07-17,90,False
2016-07-24,91,False
2016-07-31,84,False
2016-08-07,80,False
2016-08-14,79,False
2016-08-21,80,False
2016-08-28,77,False
2016-09-04,78,False
2016-09-11,73,False
2016-09-18,74,False
2016-09-25,74,False
2016-10-02,71,False
2016-10-09,74,False
2016-10-16,74,False
2016-10-23,75,False
2016-10-30,75,False
2016-11-06,67,False
2016-11-13,76,False
2016-11-20,72,False
2016-11-27,69,False
2016-12-04,69,False
2016-12-11,69,False
2016-12-18,72,False
2016-12-25,87,False
