geoName,burger
Alabama,71
Alaska,48
Arizona,96
Arkansas,63
California,96
Colorado,81
Connecticut,72
Delaware,54
District of Columbia,91
Florida,75
Georgia,88
Hawaii,67
Idaho,55
Illinois,81
Indiana,63
Iowa,71
Kansas,74
Kentucky,56
Louisiana,68
Maine,46
Maryland,73
Massachusetts,67
Michigan,72
Minnesota,78
Mississippi,73
Missouri,63
Montana,51
Nebraska,77
Nevada,100
New Hampshire,50
New Jersey,66
New Mexico,62
New York,98
North Carolina,66
North Dakota,49
Ohio,67
Oklahoma,69
Oregon,71
Pennsylvania,62
Rhode Island,94
South Carolina,59
South Dakota,54
Tennessee,71
Texas,96
Utah,71
Vermont,47
Virginia,66
Washington,72
West Virginia,51
Wisconsin,57
Wyoming,52
