geoName,burger
Alabama,61
Alaska,52
Arizona,79
Arkansas,59
California,82
Colorado,76
Connecticut,61
Delaware,51
District of Columbia,78
Florida,69
Georgia,75
Hawaii,85
Idaho,52
Illinois,76
Indiana,57
Iowa,64
Kansas,63
Kentucky,65
Louisiana,74
Maine,46
Maryland,58
Massachusetts,66
Michigan,74
Minnesota,62
Mississippi,72
Missouri,63
Montana,48
Nebraska,65
Nevada,100
New Hampshire,44
New Jersey,64
New Mexico,58
New York,80
North Carolina,59
North Dakota,49
Ohio,59
Oklahoma,69
Oregon,43
Pennsylvania,56
Rhode Island,73
South Carolina,59
South Dakota,56
Tennessee,71
Texas,74
Utah,74
Vermont,47
Virginia,49
Washington,69
West Virginia,47
Wisconsin,54
Wyoming,51
